user_id,movie_id,movie_title,genre,language,release_year,duration_min,director,user_review,rating,sentiment,watch_time_min,recommend
101,113,Joker,Sci-Fi,French,2006,153,Steven Spielberg,Poor acting and weak storyline,2,Negative,153,0
102,135,Inception,Thriller,English,2024,157,Quentin Tarantino,"Waste of time, disappointing movie",1,Negative,131,0
103,128,Joker,Thriller,Korean,2016,176,James Cameron,"Waste of time, disappointing movie",1,Negative,120,0
104,174,The Dark Knight,Comedy,Hindi,1997,117,Steven Spielberg,"Movie was okay, nothing special",3,Neutral,38,1
105,146,Forrest Gump,Thriller,Korean,2021,101,Steven Spielberg,Average storyline but decent acting,2,Neutral,168,0
106,114,Parasite,Action,Hindi,2019,108,Quentin Tarantino,Did not enjoy the movie at all,2,Negative,116,0
107,101,Interstellar,Thriller,English,2009,127,Steven Spielberg,"Waste of time, disappointing movie",1,Negative,131,0
108,103,Gladiator,Thriller,Korean,2024,158,James Cameron,Good movie for one time watch,2,Neutral,150,0
109,114,Avatar,Action,English,2004,143,Christopher Nolan,Not bad but could be better,4,Neutral,134,1
110,147,Forrest Gump,Sci-Fi,French,2018,173,James Cameron,Loved the acting and direction,5,Positive,146,1
111,135,Inception,Comedy,Korean,2001,136,Quentin Tarantino,Very boring and predictable plot,2,Negative,134,0
112,169,The Dark Knight,Action,Spanish,2003,104,Christopher Nolan,"Waste of time, disappointing movie",1,Negative,124,0
113,182,Gladiator,Action,English,2020,122,James Cameron,Did not enjoy the movie at all,1,Negative,84,0
114,126,Gladiator,Drama,Hindi,2005,179,James Cameron,Poor acting and weak storyline,1,Negative,171,0
115,169,Interstellar,Drama,English,2016,83,James Cameron,"Movie was okay, nothing special",3,Neutral,63,0
116,122,Interstellar,Action,Hindi,2018,133,Martin Scorsese,Loved the acting and direction,5,Positive,34,1
117,199,The Dark Knight,Thriller,French,1998,137,Martin Scorsese,Amazing movie with great visuals and storyline,5,Positive,144,1
118,182,Inception,Action,Spanish,2022,131,Quentin Tarantino,Amazing movie with great visuals and storyline,5,Positive,147,1
119,110,The Dark Knight,Thriller,Hindi,1997,96,Steven Spielberg,Not bad but could be better,4,Neutral,48,1
120,164,Gladiator,Sci-Fi,English,2020,169,Christopher Nolan,Good movie for one time watch,3,Neutral,146,1
121,129,Avengers,Romance,Spanish,2007,133,Christopher Nolan,Poor acting and weak storyline,2,Negative,145,0
122,119,Parasite,Action,English,2021,90,Christopher Nolan,"Outstanding movie, highly recommended",5,Positive,125,1
123,107,Gladiator,Thriller,French,2005,165,Christopher Nolan,"Outstanding movie, highly recommended",4,Positive,172,1
124,176,Interstellar,Romance,English,2013,144,James Cameron,"Fantastic experience, would watch again",4,Positive,103,1
125,144,Forrest Gump,Romance,English,2019,115,Martin Scorsese,"Fantastic experience, would watch again",4,Positive,57,1
126,103,Avatar,Romance,Korean,2024,123,Steven Spielberg,"Fantastic experience, would watch again",4,Positive,98,1
127,118,Inception,Action,French,2001,128,Quentin Tarantino,Loved the acting and direction,5,Positive,47,1
128,192,The Dark Knight,Thriller,French,1997,86,James Cameron,Loved the acting and direction,5,Positive,109,1
129,156,Avengers,Sci-Fi,French,2009,133,Steven Spielberg,Amazing movie with great visuals and storyline,4,Positive,99,1
130,114,Interstellar,Comedy,French,2010,147,Steven Spielberg,Amazing movie with great visuals and storyline,5,Positive,140,1
131,126,Interstellar,Drama,Hindi,2019,112,Steven Spielberg,"Fantastic experience, would watch again",4,Positive,31,1
132,122,Avatar,Sci-Fi,French,2017,109,Martin Scorsese,Amazing movie with great visuals and storyline,5,Positive,140,1
133,155,Inception,Sci-Fi,English,2022,120,Martin Scorsese,Good movie for one time watch,2,Neutral,40,1
134,114,Avengers,Action,Korean,2000,159,Quentin Tarantino,"Fantastic experience, would watch again",5,Positive,104,1
135,113,Joker,Sci-Fi,French,2007,147,Christopher Nolan,"Waste of time, disappointing movie",1,Negative,141,0
136,142,Avatar,Action,French,2015,94,Martin Scorsese,"Outstanding movie, highly recommended",5,Positive,86,1
137,113,Avatar,Romance,Hindi,2000,157,James Cameron,Good movie for one time watch,3,Neutral,90,0
138,196,Gladiator,Thriller,Spanish,2016,152,Martin Scorsese,"Movie was okay, nothing special",2,Neutral,148,1
139,108,Parasite,Sci-Fi,Korean,2020,115,Martin Scorsese,"Outstanding movie, highly recommended",4,Positive,142,1
140,157,Inception,Action,Korean,2021,116,Christopher Nolan,Amazing movie with great visuals and storyline,5,Positive,148,1
141,174,Forrest Gump,Comedy,English,2009,153,James Cameron,"Movie was okay, nothing special",4,Neutral,148,1
142,157,Titanic,Romance,English,2011,162,James Cameron,"Fantastic experience, would watch again",4,Positive,45,1
143,166,Gladiator,Drama,Korean,2006,116,Quentin Tarantino,"Fantastic experience, would watch again",5,Positive,164,1
144,108,The Dark Knight,Action,French,2016,129,Steven Spielberg,"Outstanding movie, highly recommended",4,Positive,115,1
145,174,Avatar,Romance,Korean,2015,169,Quentin Tarantino,Loved the acting and direction,5,Positive,50,1
146,148,The Dark Knight,Drama,French,1997,162,Quentin Tarantino,Amazing movie with great visuals and storyline,5,Positive,173,1
147,127,The Dark Knight,Sci-Fi,Hindi,2002,97,James Cameron,"Movie was okay, nothing special",3,Neutral,76,1
148,198,Gladiator,Drama,French,2007,99,James Cameron,Amazing movie with great visuals and storyline,4,Positive,116,1
149,152,The Dark Knight,Comedy,Hindi,2009,158,Steven Spielberg,Loved the acting and direction,5,Positive,41,1
150,200,Parasite,Drama,Korean,2016,153,Quentin Tarantino,Not bad but could be better,2,Neutral,109,0
151,167,Avengers,Drama,Hindi,2020,157,James Cameron,"Outstanding movie, highly recommended",5,Positive,158,1
152,170,Titanic,Comedy,French,2022,95,Steven Spielberg,Very boring and predictable plot,2,Negative,125,0
153,165,Avatar,Sci-Fi,English,2024,108,Quentin Tarantino,Loved the acting and direction,5,Positive,145,1
154,150,Forrest Gump,Romance,Hindi,2007,90,Steven Spielberg,Very boring and predictable plot,2,Negative,43,0
155,118,Avatar,Action,Korean,2024,140,James Cameron,"Outstanding movie, highly recommended",4,Positive,115,1
156,102,Interstellar,Drama,Hindi,2012,173,Martin Scorsese,Not bad but could be better,3,Neutral,50,0
157,115,Inception,Drama,Spanish,2015,159,Quentin Tarantino,"Movie was okay, nothing special",3,Neutral,107,0
158,173,Joker,Comedy,Hindi,2004,134,Christopher Nolan,"Fantastic experience, would watch again",4,Positive,161,1
159,185,Titanic,Thriller,Korean,1997,147,Martin Scorsese,Average storyline but decent acting,4,Neutral,77,1
160,181,Avengers,Romance,Korean,2018,82,Steven Spielberg,"Movie was okay, nothing special",3,Neutral,41,1
161,194,The Dark Knight,Drama,English,2006,149,Steven Spielberg,Good movie for one time watch,2,Neutral,178,0
162,180,Avatar,Drama,English,2017,179,Quentin Tarantino,Poor acting and weak storyline,2,Negative,152,0
163,105,The Dark Knight,Romance,French,2007,149,Quentin Tarantino,Loved the acting and direction,4,Positive,81,1
164,199,Inception,Comedy,Korean,2003,95,Steven Spielberg,Loved the acting and direction,5,Positive,121,1
165,143,Avatar,Sci-Fi,Spanish,2006,146,Steven Spielberg,"Fantastic experience, would watch again",5,Positive,128,1
166,177,Avatar,Thriller,Korean,2005,93,Christopher Nolan,Did not enjoy the movie at all,1,Negative,140,0
167,177,Avengers,Drama,Spanish,2006,137,Christopher Nolan,"Outstanding movie, highly recommended",5,Positive,144,1
168,181,Inception,Action,Spanish,2006,145,James Cameron,Good movie for one time watch,4,Neutral,100,1
169,116,Titanic,Drama,Korean,2006,129,Martin Scorsese,Poor acting and weak storyline,2,Negative,38,0
170,147,Parasite,Action,French,1999,147,Steven Spielberg,Loved the acting and direction,5,Positive,124,1
171,103,Avatar,Sci-Fi,French,2007,151,Christopher Nolan,"Outstanding movie, highly recommended",4,Positive,59,1
172,178,Interstellar,Comedy,Spanish,2001,95,James Cameron,"Outstanding movie, highly recommended",5,Positive,84,1
173,111,The Dark Knight,Comedy,Korean,2017,88,Martin Scorsese,Did not enjoy the movie at all,1,Negative,143,0
174,165,Joker,Action,Hindi,2020,97,James Cameron,Good movie for one time watch,2,Neutral,122,0
175,170,Avatar,Thriller,English,1997,119,Quentin Tarantino,"Movie was okay, nothing special",3,Neutral,149,1
176,173,Titanic,Drama,Korean,2015,89,Quentin Tarantino,Did not enjoy the movie at all,2,Negative,134,0
177,181,Gladiator,Drama,Hindi,2008,144,Christopher Nolan,"Outstanding movie, highly recommended",4,Positive,171,1
178,120,The Dark Knight,Comedy,Hindi,2006,146,Steven Spielberg,Poor acting and weak storyline,2,Negative,72,0
179,135,Avatar,Comedy,Korean,2014,148,Christopher Nolan,"Waste of time, disappointing movie",1,Negative,171,0
180,184,Gladiator,Comedy,French,2005,152,Christopher Nolan,Average storyline but decent acting,4,Neutral,73,0
181,182,Gladiator,Romance,Hindi,2019,153,Quentin Tarantino,Very boring and predictable plot,1,Negative,41,0
182,161,Joker,Comedy,Spanish,2004,138,Christopher Nolan,"Movie was okay, nothing special",3,Neutral,107,1
183,159,Joker,Romance,French,1999,120,Steven Spielberg,Average storyline but decent acting,3,Neutral,153,1
184,165,Forrest Gump,Action,Korean,2002,139,Christopher Nolan,Good movie for one time watch,3,Neutral,124,0
185,106,Interstellar,Sci-Fi,French,2008,111,James Cameron,Loved the acting and direction,4,Positive,54,1
186,163,Forrest Gump,Sci-Fi,Spanish,2023,119,Quentin Tarantino,"Waste of time, disappointing movie",1,Negative,70,0
187,127,Gladiator,Romance,English,1996,116,Quentin Tarantino,"Fantastic experience, would watch again",5,Positive,91,1
188,155,Avatar,Romance,Korean,2019,131,Steven Spielberg,Not bad but could be better,3,Neutral,57,0
189,170,Interstellar,Action,Spanish,2011,137,Martin Scorsese,Amazing movie with great visuals and storyline,4,Positive,122,1
190,150,The Dark Knight,Romance,French,2006,176,James Cameron,Amazing movie with great visuals and storyline,4,Positive,54,1
191,104,Avatar,Comedy,Korean,2020,140,Martin Scorsese,"Fantastic experience, would watch again",4,Positive,41,1
192,120,Avengers,Thriller,Korean,2013,123,Martin Scorsese,Loved the acting and direction,5,Positive,111,1
193,102,The Dark Knight,Romance,English,2008,154,Steven Spielberg,Did not enjoy the movie at all,2,Negative,151,0
194,183,Gladiator,Thriller,Hindi,2018,86,Martin Scorsese,"Movie was okay, nothing special",4,Neutral,97,1
195,104,Gladiator,Comedy,English,2001,82,Quentin Tarantino,"Fantastic experience, would watch again",4,Positive,92,1
196,152,Forrest Gump,Thriller,Spanish,2022,174,Christopher Nolan,Loved the acting and direction,5,Positive,82,1
197,167,Avengers,Romance,Hindi,2009,148,Steven Spielberg,Average storyline but decent acting,4,Neutral,152,1
198,131,Interstellar,Thriller,Korean,2002,118,Steven Spielberg,Good movie for one time watch,4,Neutral,79,1
199,171,Interstellar,Romance,English,2013,166,Martin Scorsese,Not bad but could be better,3,Neutral,119,1
200,137,Inception,Romance,English,2006,136,Steven Spielberg,"Fantastic experience, would watch again",5,Positive,67,1
201,189,Interstellar,Drama,English,2014,174,Martin Scorsese,Average storyline but decent acting,2,Neutral,173,1
202,106,Titanic,Sci-Fi,Korean,2017,140,Christopher Nolan,Amazing movie with great visuals and storyline,4,Positive,89,1
203,183,Parasite,Sci-Fi,Hindi,2019,116,Steven Spielberg,Average storyline but decent acting,2,Neutral,134,0
204,129,Forrest Gump,Comedy,English,2024,102,Quentin Tarantino,Amazing movie with great visuals and storyline,4,Positive,176,1
205,200,Parasite,Drama,Korean,2023,84,Christopher Nolan,Poor acting and weak storyline,1,Negative,131,0
206,158,Forrest Gump,Thriller,Spanish,2023,97,Martin Scorsese,Amazing movie with great visuals and storyline,5,Positive,102,1
207,120,Parasite,Comedy,Korean,2017,103,Christopher Nolan,Loved the acting and direction,4,Positive,114,1
208,178,Avengers,Sci-Fi,French,2005,91,Quentin Tarantino,Good movie for one time watch,4,Neutral,74,0
209,131,Inception,Romance,Spanish,2002,137,Steven Spielberg,Average storyline but decent acting,2,Neutral,112,1
210,183,The Dark Knight,Comedy,Hindi,1996,165,Christopher Nolan,"Waste of time, disappointing movie",1,Negative,96,0
211,190,Interstellar,Comedy,English,2015,117,Steven Spielberg,Loved the acting and direction,5,Positive,158,1
212,158,Gladiator,Romance,Spanish,2017,150,Quentin Tarantino,Average storyline but decent acting,2,Neutral,69,1
213,157,Forrest Gump,Comedy,Korean,1997,152,Christopher Nolan,Average storyline but decent acting,2,Neutral,164,0
214,141,Forrest Gump,Sci-Fi,English,2016,106,Martin Scorsese,Loved the acting and direction,4,Positive,72,1
215,116,Forrest Gump,Sci-Fi,Spanish,2013,87,Martin Scorsese,"Fantastic experience, would watch again",4,Positive,146,1
216,132,Inception,Comedy,Hindi,2013,89,Christopher Nolan,"Outstanding movie, highly recommended",4,Positive,131,1
217,160,Inception,Romance,Spanish,2000,178,James Cameron,Amazing movie with great visuals and storyline,4,Positive,47,1
218,148,Avengers,Action,French,1999,163,Steven Spielberg,Not bad but could be better,3,Neutral,144,1
219,100,Inception,Romance,Spanish,2016,172,Martin Scorsese,"Fantastic experience, would watch again",4,Positive,87,1
220,158,The Dark Knight,Drama,Korean,2001,172,Christopher Nolan,"Fantastic experience, would watch again",4,Positive,93,1
221,126,Titanic,Action,French,1996,137,Martin Scorsese,"Fantastic experience, would watch again",4,Positive,91,1
222,156,Joker,Thriller,Hindi,2019,179,Christopher Nolan,"Movie was okay, nothing special",2,Neutral,132,0
223,140,Gladiator,Thriller,Korean,2002,118,James Cameron,"Outstanding movie, highly recommended",4,Positive,177,1
224,135,Inception,Thriller,French,2023,174,James Cameron,Poor acting and weak storyline,2,Negative,106,0
225,144,Avengers,Thriller,Korean,2017,133,Quentin Tarantino,Not bad but could be better,4,Neutral,42,1
226,160,Joker,Drama,Korean,2022,170,James Cameron,"Fantastic experience, would watch again",4,Positive,167,1
227,171,Forrest Gump,Drama,Spanish,2002,112,James Cameron,Very boring and predictable plot,2,Negative,136,0
228,111,Forrest Gump,Comedy,Hindi,1996,114,Quentin Tarantino,Amazing movie with great visuals and storyline,5,Positive,124,1
229,192,Forrest Gump,Drama,Spanish,2001,122,Steven Spielberg,"Movie was okay, nothing special",2,Neutral,180,0
230,194,Titanic,Comedy,Spanish,2024,111,Martin Scorsese,Very boring and predictable plot,1,Negative,78,0
231,148,Parasite,Thriller,Korean,2004,113,Steven Spielberg,Not bad but could be better,2,Neutral,102,1
232,197,The Dark Knight,Drama,Korean,2005,132,Christopher Nolan,Not bad but could be better,3,Neutral,150,0
233,133,Forrest Gump,Thriller,French,2018,133,Steven Spielberg,Average storyline but decent acting,4,Neutral,34,0
234,172,Joker,Sci-Fi,French,2015,167,Steven Spielberg,"Outstanding movie, highly recommended",4,Positive,127,1
235,121,The Dark Knight,Drama,Hindi,2018,149,Quentin Tarantino,"Fantastic experience, would watch again",5,Positive,147,1
236,185,Inception,Action,Spanish,1999,160,James Cameron,Amazing movie with great visuals and storyline,4,Positive,49,1
237,164,Parasite,Romance,English,2014,161,Martin Scorsese,Loved the acting and direction,4,Positive,85,1
238,168,Forrest Gump,Sci-Fi,English,1995,147,Steven Spielberg,Did not enjoy the movie at all,1,Negative,31,0
239,113,Titanic,Thriller,Hindi,2002,104,Martin Scorsese,Good movie for one time watch,2,Neutral,75,1
240,147,Avengers,Sci-Fi,French,2002,169,James Cameron,Good movie for one time watch,3,Neutral,50,1
241,151,Avengers,Sci-Fi,French,2010,87,Christopher Nolan,Amazing movie with great visuals and storyline,4,Positive,53,1
242,172,Titanic,Thriller,English,2002,107,Martin Scorsese,"Movie was okay, nothing special",3,Neutral,114,1
243,169,Gladiator,Comedy,English,2000,120,Christopher Nolan,Amazing movie with great visuals and storyline,4,Positive,101,1
244,138,Avatar,Thriller,Hindi,2013,129,Martin Scorsese,Poor acting and weak storyline,2,Negative,49,0
245,195,The Dark Knight,Action,English,2008,109,Christopher Nolan,Loved the acting and direction,4,Positive,158,1
246,181,Interstellar,Sci-Fi,Spanish,2002,125,Martin Scorsese,"Fantastic experience, would watch again",5,Positive,37,1
247,184,Avengers,Action,French,2004,111,Christopher Nolan,Did not enjoy the movie at all,1,Negative,179,0
248,194,Avengers,Romance,Korean,1998,91,Christopher Nolan,Loved the acting and direction,5,Positive,69,1
249,113,Avatar,Action,Hindi,2008,137,Martin Scorsese,Did not enjoy the movie at all,2,Negative,99,0
250,145,Forrest Gump,Action,French,2014,180,Steven Spielberg,Not bad but could be better,2,Neutral,52,0
251,149,Titanic,Comedy,French,2023,111,Martin Scorsese,Very boring and predictable plot,2,Negative,135,0
252,138,Interstellar,Sci-Fi,Hindi,1997,101,Quentin Tarantino,Not bad but could be better,2,Neutral,98,0
253,146,Interstellar,Drama,Spanish,2014,158,James Cameron,"Outstanding movie, highly recommended",5,Positive,49,1
